timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/07/16 11:47:03.061, Quadro RTX 8000, 0 %, 0 %, 1 MiB
2025/07/16 11:47:04.062, Quadro RTX 8000, 0 %, 0 %, 1 MiB
2025/07/16 11:47:05.063, Quadro RTX 8000, 0 %, 0 %, 1 MiB
2025/07/16 11:47:06.064, Quadro RTX 8000, 0 %, 0 %, 1 MiB
2025/07/16 11:47:07.065, Quadro RTX 8000, 0 %, 0 %, 1 MiB
2025/07/16 11:47:08.066, Quadro RTX 8000, 0 %, 0 %, 1 MiB
2025/07/16 11:47:09.067, Quadro RTX 8000, 0 %, 0 %, 1 MiB
2025/07/16 11:47:10.068, Quadro RTX 8000, 0 %, 0 %, 1 MiB
2025/07/16 11:47:11.069, Quadro RTX 8000, 0 %, 0 %, 1 MiB
2025/07/16 11:47:12.070, Quadro RTX 8000, 0 %, 0 %, 1 MiB
2025/07/16 11:47:13.071, Quadro RTX 8000, 0 %, 0 %, 1 MiB
2025/07/16 11:47:14.072, Quadro RTX 8000, 0 %, 0 %, 1 MiB
2025/07/16 11:47:15.073, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:16.074, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:17.075, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:18.076, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:19.077, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:20.078, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:21.079, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:22.080, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:23.080, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:24.081, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:25.083, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:26.083, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:27.084, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:28.086, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:29.086, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:30.087, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:31.088, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:32.089, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:33.090, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:34.091, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:35.092, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:36.093, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:37.094, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:38.095, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:39.096, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:40.097, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:41.098, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:42.099, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:43.100, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:44.101, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:45.103, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:46.104, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:47.105, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:48.106, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:49.107, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:50.108, Quadro RTX 8000, 0 %, 0 %, 3 MiB
2025/07/16 11:47:51.108, Quadro RTX 8000, 0 %, 0 %, 3 MiB
